applicant_income,coapplicant_income,loan_amount,loan_term_months,credit_history,dependents,employment_status,property_area,approved
3390.0,0.0,76000.0,360,1,0,salaried,urban,1
6146.0,0.0,40000.0,360,1,1,salaried,semiurban,1
3120.0,2924.0,132000.0,360,1,0,salaried,semiurban,1
3448.0,2515.0,73000.0,240,1,0,self_employed,semiurban,1
8213.0,1282.0,149000.0,240,0,2,salaried,urban,0
7611.0,0.0,78000.0,360,0,3,salaried,urban,1
3284.0,935.0,70000.0,240,0,0,self_employed,rural,0
3240.0,3115.0,117000.0,360,1,0,salaried,semiurban,1
3385.0,0.0,315000.0,360,1,0,salaried,rural,0
6743.0,6259.0,153000.0,360,1,0,self_employed,semiurban,1
2836.0,0.0,116000.0,360,1,2,self_employed,rural,0
5588.0,759.0,128000.0,240,0,1,self_employed,urban,0
6791.0,0.0,50000.0,360,1,0,salaried,urban,1
4473.0,8935.0,66000.0,360,1,2,salaried,rural,1
7747.0,1088.0,35000.0,240,0,0,unemployed,rural,1
4015.0,1917.0,238000.0,360,1,1,salaried,urban,1
4201.0,5375.0,217000.0,360,1,3,salaried,urban,1
2868.0,0.0,130000.0,180,1,0,salaried,semiurban,0
7774.0,11340.0,116000.0,360,1,0,self_employed,urban,1
3187.0,1196.0,54000.0,240,0,2,unemployed,urban,1
5569.0,0.0,99000.0,360,1,0,salaried,rural,1
4511.0,4707.0,244000.0,360,1,0,unemployed,urban,1
2762.0,0.0,116000.0,360,1,0,salaried,semiurban,1
3448.0,0.0,85000.0,360,0,0,salaried,urban,0
9334.0,1908.0,49000.0,240,0,1,self_employed,urban,0
5171.0,0.0,203000.0,360,0,0,salaried,semiurban,1
2823.0,3072.0,106000.0,240,0,0,salaried,urban,0
5446.0,2752.0,49000.0,360,1,0,salaried,semiurban,1
4346.0,1508.0,72000.0,240,1,1,unemployed,urban,1
26292.0,0.0,61000.0,240,0,2,salaried,rural,0
5391.0,0.0,103000.0,120,1,1,unemployed,semiurban,0
3865.0,3242.0,120000.0,240,1,1,self_employed,rural,1
9509.0,0.0,87000.0,240,1,2,salaried,urban,1
1862.0,806.0,155000.0,180,1,0,self_employed,urban,0
4901.0,0.0,113000.0,360,1,0,salaried,urban,1
12673.0,0.0,176000.0,360,0,0,salaried,semiurban,0
4411.0,0.0,93000.0,240,1,0,self_employed,urban,0
1965.0,0.0,430000.0,360,1,3,self_employed,urban,0
3835.0,0.0,85000.0,360,1,0,salaried,urban,1
9675.0,4784.0,73000.0,360,1,2,salaried,urban,1
5642.0,0.0,69000.0,300,1,0,salaried,urban,1
3073.0,0.0,99000.0,360,1,0,self_employed,urban,0
3319.0,0.0,50000.0,300,1,0,salaried,urban,1
3534.0,1931.0,125000.0,240,1,0,salaried,semiurban,0
5600.0,0.0,46000.0,360,1,0,salaried,urban,1
9128.0,3290.0,117000.0,360,1,1,salaried,urban,1
7913.0,4097.0,59000.0,360,1,0,self_employed,semiurban,1
5872.0,366.0,92000.0,300,1,2,self_employed,rural,1
2402.0,1122.0,143000.0,360,1,2,salaried,urban,1
2407.0,0.0,308000.0,360,1,0,salaried,semiurban,0
6104.0,3341.0,67000.0,180,0,3,salaried,rural,0
2386.0,0.0,102000.0,180,1,0,self_employed,semiurban,0
4176.0,0.0,79000.0,300,1,0,self_employed,rural,0
5443.0,3324.0,74000.0,240,1,0,salaried,rural,1
2647.0,0.0,79000.0,300,1,1,salaried,urban,0
2801.0,2920.0,158000.0,180,1,1,salaried,semiurban,0
4460.0,0.0,88000.0,360,1,1,salaried,semiurban,1
6014.0,0.0,300000.0,360,1,2,self_employed,rural,0
7949.0,3390.0,132000.0,360,1,0,salaried,semiurban,1
6333.0,0.0,69000.0,360,0,2,salaried,urban,1
4850.0,3811.0,93000.0,300,1,1,unemployed,semiurban,1
3219.0,1376.0,76000.0,360,0,0,salaried,urban,1
2737.0,0.0,156000.0,360,0,0,salaried,semiurban,0
3621.0,5180.0,52000.0,360,1,0,salaried,semiurban,1
5739.0,0.0,60000.0,240,1,0,salaried,semiurban,1
5532.0,4798.0,84000.0,360,1,2,salaried,rural,1
1636.0,5036.0,148000.0,360,1,0,salaried,semiurban,1
3156.0,0.0,190000.0,360,1,0,salaried,semiurban,0
8538.0,1235.0,203000.0,360,1,2,salaried,semiurban,1
4864.0,0.0,138000.0,360,1,1,salaried,rural,0
2302.0,1725.0,105000.0,360,1,3,self_employed,rural,1
15183.0,0.0,156000.0,360,1,1,salaried,urban,1
4608.0,0.0,65000.0,360,1,1,salaried,semiurban,1
5666.0,3138.0,48000.0,360,0,0,salaried,urban,1
5709.0,3148.0,133000.0,120,1,1,self_employed,rural,0
3890.0,958.0,69000.0,360,1,0,self_employed,semiurban,1
3249.0,0.0,106000.0,240,1,0,salaried,semiurban,1
13505.0,2746.0,115000.0,240,0,3,salaried,urban,0
7720.0,5750.0,122000.0,240,1,1,salaried,urban,1
7051.0,0.0,166000.0,360,1,1,salaried,semiurban,1
6236.0,4192.0,159000.0,120,0,0,salaried,urban,0
2831.0,2790.0,119000.0,240,1,1,salaried,urban,0
8855.0,3968.0,89000.0,120,1,0,salaried,rural,1
3067.0,812.0,115000.0,360,1,0,salaried,semiurban,0
5386.0,0.0,83000.0,360,1,0,salaried,urban,0
2060.0,0.0,100000.0,360,1,0,salaried,urban,0
1685.0,0.0,354000.0,360,1,0,self_employed,rural,0
5482.0,0.0,118000.0,240,1,2,salaried,semiurban,0
3120.0,3115.0,134000.0,360,1,0,unemployed,semiurban,1
1729.0,2630.0,79000.0,180,0,2,salaried,urban,0
6126.0,0.0,173000.0,360,0,2,self_employed,urban,0
13495.0,0.0,154000.0,360,1,0,self_employed,urban,1
9365.0,0.0,154000.0,360,1,1,unemployed,semiurban,1
4111.0,2552.0,120000.0,180,1,0,self_employed,urban,1
4696.0,0.0,174000.0,120,1,2,self_employed,urban,0
7287.0,0.0,193000.0,360,1,0,self_employed,semiurban,1
8193.0,0.0,124000.0,360,1,0,self_employed,rural,1
3937.0,0.0,104000.0,360,1,0,salaried,semiurban,0
4756.0,1739.0,163000.0,360,1,2,salaried,semiurban,1
5433.0,1337.0,73000.0,360,1,0,salaried,semiurban,1
6167.0,6059.0,79000.0,240,1,2,self_employed,semiurban,1
4374.0,890.0,107000.0,360,1,0,salaried,urban,0
4403.0,0.0,50000.0,240,1,1,salaried,semiurban,1
9320.0,9234.0,158000.0,360,1,0,self_employed,semiurban,1
8559.0,4248.0,71000.0,360,1,0,salaried,semiurban,1
5935.0,1955.0,88000.0,360,1,0,salaried,rural,1
11043.0,0.0,99000.0,360,1,0,salaried,rural,1
3854.0,770.0,111000.0,240,0,2,salaried,urban,0
10525.0,1498.0,93000.0,360,0,1,salaried,urban,0
6132.0,0.0,106000.0,360,1,0,salaried,urban,1
23993.0,1208.0,106000.0,360,1,0,salaried,urban,1
2575.0,1590.0,89000.0,360,1,0,salaried,urban,0
3312.0,1860.0,77000.0,360,1,1,salaried,urban,0
5764.0,0.0,177000.0,240,1,2,self_employed,semiurban,0
5702.0,0.0,42000.0,360,1,2,salaried,semiurban,1
12395.0,0.0,99000.0,360,1,2,unemployed,rural,0
3347.0,1787.0,88000.0,180,1,0,self_employed,urban,1
7350.0,0.0,132000.0,360,1,0,salaried,urban,1
8360.0,0.0,57000.0,300,1,2,salaried,urban,1
6650.0,2351.0,87000.0,180,1,0,salaried,urban,1
2891.0,646.0,104000.0,180,1,0,self_employed,urban,0
9451.0,2678.0,177000.0,360,1,0,self_employed,rural,1
8644.0,0.0,127000.0,360,1,2,self_employed,urban,1
6309.0,1831.0,64000.0,240,1,1,salaried,urban,1
5178.0,855.0,88000.0,180,1,3,self_employed,semiurban,1
5235.0,0.0,163000.0,240,1,0,salaried,semiurban,0
4495.0,0.0,64000.0,240,0,0,self_employed,semiurban,0
6441.0,0.0,105000.0,360,1,0,salaried,urban,1
4748.0,0.0,109000.0,240,1,2,self_employed,rural,0
3059.0,3043.0,92000.0,240,1,0,self_employed,urban,0
2768.0,0.0,367000.0,120,1,3,salaried,semiurban,0
3210.0,2961.0,91000.0,360,1,1,salaried,semiurban,1
5224.0,1351.0,134000.0,360,0,2,salaried,rural,0
4612.0,0.0,77000.0,360,1,2,self_employed,urban,0
5207.0,1285.0,138000.0,360,0,0,salaried,semiurban,0
6005.0,2241.0,161000.0,360,1,1,unemployed,urban,0
3416.0,0.0,84000.0,360,1,0,salaried,urban,1
9729.0,969.0,106000.0,360,0,2,unemployed,urban,0
4089.0,2071.0,73000.0,360,1,2,self_employed,semiurban,1
3764.0,0.0,65000.0,180,0,1,salaried,urban,0
5950.0,0.0,174000.0,360,1,0,self_employed,semiurban,1
1866.0,0.0,85000.0,360,1,3,self_employed,urban,0
3149.0,1126.0,37000.0,360,1,3,unemployed,rural,1
7635.0,0.0,241000.0,240,1,1,salaried,rural,0
1961.0,0.0,76000.0,360,0,3,salaried,urban,0
8175.0,910.0,98000.0,360,1,1,salaried,urban,1
9952.0,2107.0,228000.0,240,1,0,salaried,urban,1
3887.0,1052.0,102000.0,120,1,0,salaried,rural,0
5409.0,4857.0,101000.0,240,1,0,salaried,urban,0
8181.0,1999.0,63000.0,360,0,1,salaried,semiurban,1
3702.0,0.0,52000.0,360,0,1,salaried,semiurban,0
7215.0,0.0,101000.0,360,1,0,salaried,rural,1
3342.0,989.0,128000.0,360,1,0,self_employed,semiurban,0
3682.0,0.0,125000.0,360,0,1,self_employed,semiurban,0
3135.0,2659.0,88000.0,300,1,2,salaried,rural,1
5549.0,925.0,110000.0,240,1,3,salaried,urban,0
8341.0,0.0,48000.0,240,0,0,unemployed,rural,0
4264.0,3589.0,134000.0,360,1,2,salaried,urban,1
2476.0,0.0,117000.0,180,0,0,salaried,semiurban,0
2721.0,831.0,265000.0,240,1,0,salaried,rural,0
5695.0,1295.0,109000.0,360,0,1,self_employed,semiurban,1
11755.0,1061.0,71000.0,360,1,0,salaried,semiurban,1
5692.0,6929.0,107000.0,120,1,2,self_employed,urban,1
3853.0,0.0,94000.0,360,1,0,self_employed,urban,0
6857.0,0.0,133000.0,360,1,0,salaried,urban,1
4147.0,2991.0,110000.0,360,1,1,self_employed,semiurban,1
3869.0,773.0,62000.0,360,0,0,self_employed,semiurban,0
2895.0,0.0,52000.0,120,0,0,salaried,urban,0
9454.0,0.0,123000.0,240,0,0,salaried,urban,0
1313.0,2742.0,203000.0,240,1,0,salaried,urban,0
6967.0,1866.0,113000.0,360,1,2,salaried,urban,1
3708.0,2377.0,157000.0,360,1,0,salaried,urban,1
3808.0,2111.0,172000.0,360,1,1,unemployed,rural,0
10896.0,1782.0,123000.0,360,1,1,salaried,semiurban,1
3271.0,1624.0,76000.0,300,1,1,salaried,urban,0
3327.0,1483.0,119000.0,180,1,0,self_employed,semiurban,0
4380.0,2350.0,188000.0,240,1,1,salaried,rural,1
5750.0,2664.0,138000.0,360,1,2,unemployed,urban,1
3748.0,0.0,153000.0,360,1,0,self_employed,urban,1
2128.0,0.0,89000.0,360,1,2,salaried,urban,0
3033.0,993.0,100000.0,240,0,0,salaried,urban,0
8872.0,2642.0,103000.0,360,0,0,unemployed,semiurban,0
4853.0,5598.0,107000.0,240,1,1,self_employed,rural,1
5858.0,0.0,185000.0,360,0,0,unemployed,urban,0
4102.0,0.0,38000.0,120,0,0,salaried,semiurban,0
3362.0,2338.0,111000.0,360,1,0,self_employed,urban,1
10816.0,0.0,105000.0,240,1,0,self_employed,semiurban,1
4255.0,0.0,59000.0,240,1,1,salaried,semiurban,0
3746.0,0.0,148000.0,360,1,0,salaried,urban,0
8087.0,1251.0,79000.0,300,1,2,self_employed,urban,1
3258.0,1778.0,93000.0,360,1,2,salaried,semiurban,0
3473.0,0.0,251000.0,300,0,0,salaried,rural,0
4699.0,5005.0,172000.0,360,1,0,self_employed,urban,1
4676.0,0.0,141000.0,240,1,0,salaried,urban,1
5323.0,0.0,129000.0,360,0,2,salaried,urban,0
13304.0,2986.0,101000.0,360,0,0,salaried,semiurban,0
5531.0,1190.0,268000.0,360,1,0,salaried,semiurban,1
1424.0,2288.0,157000.0,300,0,3,self_employed,rural,0
5504.0,2421.0,78000.0,360,0,0,self_employed,semiurban,0
4764.0,0.0,58000.0,180,1,0,salaried,rural,0
4778.0,0.0,141000.0,360,0,2,unemployed,rural,0
5287.0,1935.0,106000.0,360,1,3,self_employed,urban,0
4609.0,0.0,57000.0,360,1,0,salaried,semiurban,1
4554.0,2049.0,132000.0,360,1,0,self_employed,urban,1
6352.0,0.0,97000.0,240,1,0,salaried,urban,0
3565.0,5096.0,139000.0,180,1,0,unemployed,rural,1
2911.0,0.0,133000.0,300,1,0,self_employed,semiurban,0
21203.0,0.0,83000.0,360,1,0,self_employed,rural,1
3268.0,3186.0,145000.0,300,1,1,salaried,urban,1
4915.0,0.0,87000.0,360,1,2,self_employed,semiurban,1
2213.0,0.0,90000.0,360,0,3,salaried,semiurban,0
4955.0,13732.0,86000.0,360,1,2,salaried,urban,1
2932.0,0.0,181000.0,360,1,0,salaried,urban,0
3747.0,0.0,96000.0,180,1,0,self_employed,semiurban,0
7884.0,0.0,202000.0,300,0,1,salaried,urban,0
5919.0,997.0,243000.0,360,1,0,self_employed,rural,1
6212.0,0.0,78000.0,240,1,0,self_employed,urban,1
1928.0,0.0,29000.0,240,1,2,salaried,urban,1
11713.0,0.0,175000.0,300,0,0,salaried,semiurban,0
2576.0,2650.0,94000.0,360,0,0,salaried,urban,0
10039.0,1720.0,74000.0,360,0,1,salaried,rural,1
7791.0,0.0,84000.0,300,1,3,self_employed,semiurban,1
6240.0,1762.0,91000.0,240,1,1,salaried,urban,1
3049.0,3318.0,196000.0,360,1,0,self_employed,semiurban,1
5043.0,3599.0,117000.0,300,1,1,salaried,semiurban,1
3694.0,0.0,194000.0,360,1,2,self_employed,semiurban,0
4743.0,3407.0,136000.0,360,0,0,unemployed,rural,0
4126.0,0.0,95000.0,360,0,1,self_employed,semiurban,0
1687.0,0.0,92000.0,360,1,1,self_employed,semiurban,0
8192.0,0.0,140000.0,360,1,1,self_employed,urban,1
4489.0,0.0,158000.0,240,1,0,salaried,semiurban,0
3669.0,1491.0,171000.0,360,1,2,salaried,rural,0
3533.0,0.0,97000.0,360,1,0,salaried,semiurban,1
5593.0,3055.0,118000.0,360,1,0,salaried,semiurban,1
2990.0,0.0,142000.0,360,1,0,self_employed,semiurban,1
1514.0,1899.0,92000.0,240,1,0,self_employed,semiurban,0
5731.0,0.0,65000.0,360,1,0,self_employed,rural,1
6061.0,0.0,76000.0,240,1,2,salaried,urban,1
4231.0,1469.0,98000.0,240,1,2,self_employed,urban,0
2633.0,0.0,147000.0,360,1,0,salaried,semiurban,0
4888.0,1314.0,192000.0,360,1,2,salaried,semiurban,0
2248.0,2970.0,59000.0,360,0,3,self_employed,semiurban,0
2797.0,2490.0,83000.0,300,1,0,unemployed,urban,1
3212.0,752.0,93000.0,180,1,1,salaried,urban,1
7129.0,0.0,156000.0,360,1,3,salaried,semiurban,1
3900.0,0.0,86000.0,360,1,2,salaried,semiurban,1
3737.0,3102.0,90000.0,360,1,1,salaried,semiurban,1
12424.0,0.0,58000.0,360,0,2,self_employed,semiurban,1
5576.0,0.0,136000.0,360,0,1,self_employed,semiurban,0
5539.0,0.0,101000.0,360,1,0,salaried,rural,1
3886.0,2177.0,81000.0,300,0,0,salaried,semiurban,1
